trip_id,arrival_time,departure_time,stop_id,stop_sequence
17_outbound_1,03:45:00,03:45:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_1,04:05:00,04:05:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_1,04:15:00,04:15:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_2,04:15:00,04:15:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_2,04:35:00,04:35:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_2,04:45:00,04:45:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_3,04:45:00,04:45:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_3,05:05:00,05:05:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_3,05:15:00,05:15:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_4,05:15:00,05:15:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_4,05:35:00,05:35:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_4,05:45:00,05:45:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_5,05:20:00,05:20:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_5,05:40:00,05:40:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_5,05:50:00,05:50:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_6,05:35:00,05:35:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_6,05:55:00,05:55:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_6,06:05:00,06:05:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_7,05:40:00,05:40:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_7,06:00:00,06:00:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_7,06:10:00,06:10:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_8,06:00:00,06:00:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_8,06:20:00,06:20:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_8,06:30:00,06:30:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_9,06:10:00,06:10:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_9,06:30:00,06:30:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_9,06:40:00,06:40:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_10,06:20:00,06:20:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_10,06:40:00,06:40:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_10,06:50:00,06:50:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_11,06:30:00,06:30:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_11,06:50:00,06:50:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_11,07:00:00,07:00:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_12,06:40:00,06:40:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_12,07:00:00,07:00:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_12,07:10:00,07:10:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_13,07:10:00,07:10:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_13,07:30:00,07:30:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_13,07:40:00,07:40:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_14,07:25:00,07:25:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_14,07:45:00,07:45:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_14,07:55:00,07:55:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_15,07:40:00,07:40:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_15,08:00:00,08:00:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_15,08:10:00,08:10:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_16,08:00:00,08:00:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_16,08:20:00,08:20:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_16,08:30:00,08:30:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_17,08:10:00,08:10:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_17,08:30:00,08:30:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_17,08:40:00,08:40:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_18,08:30:00,08:30:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_18,08:50:00,08:50:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_18,09:00:00,09:00:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_19,08:50:00,08:50:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_19,09:10:00,09:10:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_19,09:20:00,09:20:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_20,09:10:00,09:10:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_20,09:30:00,09:30:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_20,09:40:00,09:40:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_21,09:30:00,09:30:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_21,09:50:00,09:50:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_21,10:00:00,10:00:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_22,09:50:00,09:50:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_22,10:10:00,10:10:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_22,10:20:00,10:20:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_23,10:10:00,10:10:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_23,10:30:00,10:30:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_23,10:40:00,10:40:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_24,11:05:00,11:05:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,1
17_outbound_24,11:15:00,11:15:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_25,10:50:00,10:50:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_25,11:10:00,11:10:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_25,11:20:00,11:20:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_26,11:05:00,11:05:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_26,11:25:00,11:25:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_26,11:35:00,11:35:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_27,11:20:00,11:20:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_27,11:40:00,11:40:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_27,11:50:00,11:50:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_28,11:30:00,11:30:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_28,11:50:00,11:50:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_28,12:00:00,12:00:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_29,12:00:00,12:00:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_29,12:20:00,12:20:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_29,12:30:00,12:30:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_30,12:20:00,12:20:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_30,12:40:00,12:40:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_30,12:50:00,12:50:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_31,12:50:00,12:50:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_31,13:10:00,13:10:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_31,13:20:00,13:20:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_32,13:00:00,13:00:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_32,13:20:00,13:20:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_32,13:30:00,13:30:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_33,13:05:00,13:05:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_33,13:25:00,13:25:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_33,13:35:00,13:35:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_34,13:10:00,13:10:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_34,13:30:00,13:30:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_34,13:40:00,13:40:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_35,13:30:00,13:30:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_35,13:50:00,13:50:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_35,14:00:00,14:00:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_36,13:40:00,13:40:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_36,14:00:00,14:00:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_36,14:10:00,14:10:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_37,13:45:00,13:45:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_37,14:05:00,14:05:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_37,14:15:00,14:15:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_38,13:50:00,13:50:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_38,14:10:00,14:10:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_38,14:20:00,14:20:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_39,14:10:00,14:10:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_39,14:30:00,14:30:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_39,14:40:00,14:40:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_40,14:30:00,14:30:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_40,14:50:00,14:50:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_40,15:00:00,15:00:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_41,15:00:00,15:00:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_41,15:20:00,15:20:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_41,15:30:00,15:30:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_42,15:15:00,15:15:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_42,15:35:00,15:35:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_42,15:45:00,15:45:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_43,15:30:00,15:30:00,nugegoda_bus_stand_6.8729_79.8922,1
17_outbound_43,15:50:00,15:50:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,2
17_outbound_43,16:00:00,16:00:00,malabe_junction_bus_stop_kaduwela_road_6.9039_79.9543,3
17_outbound_44,15:40:00,15:40:00,nugegoda_bus_stand_6.8729_79.8922,1
