stop_id,stop_name,stop_lat,stop_lon
177_163_170_190_bus_stop_6.902_79.9175,"177, 163, 170, 190 Bus-Stop",6.9020331,79.9175227
177_bus_stop_6.9046_79.9533,177 bus stop,6.9045555,79.9532658
18th_mile_post_7.1587_79.8705,18th Mile Post,7.1587327,79.8705384
18th_mile_post_7.158_79.871,18th Mile Post,7.1580078,79.8709514
255_6.7949_79.901,255,6.79493,79.900953
311_badulla_6.972_80.7673,311-Badulla,6.9719849,80.7672733
311_welimada_6.9721_80.7674,311-Welimada,6.9720775,80.7673645
47_kandy_6.9718_80.7672,47-Kandy,6.9717976,80.7671828
47_kandy_kurunegala_6.9719_80.7672,47-Kandy-Kurunegala,6.971949,80.7672304
749_1_pattipola_6.972_80.7674,749/1-Pattipola,6.9719508,80.7673591
749_meepilimana_6.9721_80.7672,749-Meepilimana,6.9720794,80.7672384
79_colombo_6.972_80.7672,79-Colombo,6.971981,80.7671687
79_colombo_a_c_6.9718_80.7673,79-Colombo (A/C),6.9718011,80.7672842
abagahamula_7.079_80.6634,Abagahamula,7.0790136,80.6634111
ac_bus_to_jaffna_6.9483_79.8607,AC bus to Jaffna,6.9482955,79.8606937
ac_express_route_240_negombo_6.937_79.8555,AC Express Route 240 Negombo,6.9370258,79.8555055
airport_bus_stop_6.953_79.8806,Airport Bus Stop,6.9529947,79.8806139
airport_express_bus_187_to_aweriwatta_bus_station_6.9337_79.8558,Airport Express Bus 187 (To Aweriwatta Bus Station),6.9336647,79.855834
airport_free_shuttle_7.1681_79.8827,Airport free shuttle,7.1681015,79.8827028
akbar_7.2519_80.5933,Akbar,7.2519244,80.593308
akkaraipattu_7.218_81.8499,Akkaraipattu,7.2179897,81.8498611
alawwa_kurunegala_7.2942_80.2409,Alawwa-Kurunegala,7.2942445,80.2408757
aluthgama_6.432_79.9984,Aluthgama,6.4320384,79.998411
ampara_7.2902_81.6732,Ampara,7.2902022,81.6731718
anaipanthy_junction_9.6709_80.0217,Anaipanthy Junction,9.6708958,80.0216671
ananda_maithree_mawatha_6.8453_79.9388,Ananda Maithree Mawatha,6.8453475,79.9387849
angunawela_7.2406_80.5933,Angunawela,7.2405699,80.5933401
anula_vidyalaya_bus_stop_6.8722_79.8839,Anula Vidyalaya Bus Stop,6.8722089,79.8838604
anuradhapura_8.3402_80.4145,Anuradhapura,8.3401697,80.4145011
armour_street_6.9425_79.8645,Armour street,6.9424718,79.8644849
arugam_bay_pick_up_6.9233_79.8694,Arugam Bay Pick Up,6.9232838,79.8694364
athurugiriya_6.8758_79.9908,Athurugiriya,6.8758128,79.9907631
athurugiriya_bus_stand_6.8773_79.9894,Athurugiriya Bus Stand,6.8773468,79.9893844
avissawella_6.68_80.4064,Avissawella,6.6800057,80.4064424
ayurwedha_bus_stop_7.0917_80.0369,Ayurwedha Bus stop,7.0917229,80.0368681
badulla_bus_station_6.9881_81.0577,Badulla Bus Station,6.9880814,81.0576938
bambalapitiya_cargills_bank_halt_6.8971_79.8543,Bambalapitiya Cargills Bank halt,6.8971163,79.8543228
bambalapitiya_flats_halt_6.8841_79.8584,Bambalapitiya flats halt,6.8840616,79.8584362
bambalapitiya_junction_6.8933_79.8556,Bambalapitiya Junction,6.893302,79.8555889
bambalapitiya_junction_6.8947_79.8572,Bambalapitiya Junction,6.8947364,79.857241
bambalapitiya_junction_bus_stop_6.8943_79.8574,Bambalapitiya Junction Bus Stop,6.8943178,79.8574226
bambalapitiya_milagiriya_halt_6.8893_79.8569,Bambalapitiya Milagiriya halt,6.8892655,79.8568968
bandarawela_6.8305_80.9888,Bandarawela,6.8304821,80.9887875
bastian_mawatha_fort_6.9336_79.8554,Bastian Mawatha – Fort,6.9336012,79.855401
battaramulla_6.9022_79.9181,Battaramulla,6.902175,79.9181074
bauddhaloka_mawatha_6.9056_79.9047,Bauddhaloka Mawatha,6.9056152,79.9047419
belek_kade_6.8145_79.879,Belek kade,6.8144994,79.8789856
bmich_bus_stop_6.9051_79.8731,BMICH Bus Stop,6.905098,79.8731058
bogamuwa_7.1107_80.0512,Bogamuwa,7.110688,80.051196
boralumankada_junction_7.1542_80.58,Boralumankada Junction,7.1542095,80.5800008
borella_6.9147_79.8778,Borella,6.9146685,79.8778045
borella_6.9154_79.8778,Borella,6.9153814,79.8778049
bus_187_to_colombo_7.1736_79.8875,Bus #187 to Colombo,7.17362,79.8874686
bus_187_to_fort_colombo_7.1661_79.8844,Bus #187 to fort colombo,7.1660547,79.8843734
bus_stop_155_6.9468_79.8628,Bus Stop #155,6.94683,79.8627971
bus_stop_9.7198_80.0836,Bus Stop,9.7197983,80.0835733
bus_stop_near_the_cargills_6.8883_79.8875,bus stop near the cargills,6.8883487,79.8874801
bus_stop_polduwa_6.9029_79.9121,Bus Stop Polduwa,6.9028946,79.9121377
bus_stop_refreshing_point_7.0752_80.6752,BUS STOP - refreshing point,7.0752334,80.6752056
bus_stop_to_colombo_negombo_7.9783_79.8333,Bus stop (to Colombo & Negombo),7.978309,79.8333209
bus_stop_to_mihintale_8.3561_80.4183,Bus stop to Mihintale,8.3561232,80.4182747
bus_stop_to_polonnaruwa_7.871_80.6509,Bus stop to Polonnaruwa,7.8709713,80.6508594
bus_stop_to_sigiriyia_7.8766_80.6508,Bus Stop to Sigiriyia,7.8765625,80.6508244
bus_to_kandy_6.9334_79.8558,Bus to Kandy,6.933403,79.8558025
bus_to_kandy_7.8704_80.651,Bus to Kandy,7.8704232,80.6509529
busses_to_colombo_6.8942_79.9249,Busses to Colombo,6.8942077,79.9249272
busstand_7.2921_79.8523,Busstand,7.2921396,79.8522598
cargills_food_city_ratmalana_6.8277_79.8689,Cargills Food City Ratmalana,6.8276844,79.8688536
castle_street_6.9111_79.8855,Castle Street,6.9111047,79.8855107
children_s_park_7.2868_80.6477,Children's park,7.2868477,80.6476824
cinnamon_lakeside_bus_stop_6.9284_79.849,Cinnamon Lakeside Bus Stop,6.9283732,79.8489897
cinnamon_lakeside_halt_6.9286_79.8487,Cinnamon Lakeside Halt,6.9285643,79.8486542
colombo_central_bus_stand_6.9344_79.8546,Colombo central Bus stand,6.9343891,79.8546349
colombo_central_bus_stand_6.935_79.8529,Colombo Central Bus Stand,6.9349534,79.8528805
